ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000ETFL482,ETFL48,"DEKA EURO ISTOXX EX FIN DIVIDEND",ETFs,"ETFs Europa Gesamt"
DE000ETFL490,ETFL49,"DEKA EUROZONE RENDITE PLUS 1-10",ETFs,"ETFs Europa Bonds"
DE000ETFL508,ETFL50,"DEKA MSCI WORLD UCITS ETF",ETFs,"ETFs Welt"
DE000ETFL516,ETFL51,"DEKA GERMANY 30 UCITS ETF",ETFs,"ETFs Deutschland"
DE000ETFL524,ETFL52,"DEKA US TREAS.7-10 UC.ETF",ETFs,"ETFs Sonstige Bonds"
DE000ETFL532,ETFL53,"DEKA EO CORP.0-3 LIQ.U.E.",ETFs,"ETFs Europa Bonds"
DE000ETFL540,ETFL54,"DEKA MSCI GERM.CL.CH.ESG",ETFs,"ETFs Deutschland"
DE000ETFL557,ETFL55,"DEKA MSCI EMU CLI.CH.ESG",ETFs,"ETFs Europa Gesamt"
DE000ETFL565,ETFL56,"DEKA MSCI EUROP.C.CH.ESG",ETFs,"ETFs Europa Gesamt"
DE000ETFL573,ETFL57,"DEKA MSCI USA CLI.CH.ESG",ETFs,"ETFs Nordamerika"
DE000ETFL581,ETFL58,"DEKA MSCI WORLD C.CH.ESG",ETFs,"ETFs Welt"
DE000ETFL599,ETFL59,"Deka MSCI EUR Corporates Climate Change ESG ETF",ETFs,"ETFs Europa Bonds"
DE000ETFL607,ETFL60,"DEKA FUT.ENER.ESG UE",ETFs,"ETFs Branchen"
DE000EWG0LD1,EWG0LD,"EUWAX GOLD",ETFs,"ETFs Rohstoffe ETCs"
DE000EWG2LD7,EWG2LD,"BOERSE STUTTG. EUWAX-GOLD",ETFs,"ETFs Rohstoffe ETCs"
DE000PB6R1B1,PB6R1B,"BNP PAR.ISS. O.E. ETC",ETFs,"ETFs Rohstoffe ETCs"
FR0007052782,626678,"LYXOR CAC 40(DR)UE D",ETFs,"ETFs Europa Gesamt"
FR0007054358,798328,"LYX.EU.ST.50(DR)U.E. ACC",ETFs,"ETFs Europa Gesamt"
FR0007056841,541779,"LYX.D.JON.IN.AV.U.ETF D",ETFs,"ETFs Nordamerika"
FR0007075494,787716,"LYX.DJ GL TI.50 U.ETF",ETFs,"ETFs Welt"
FR0010010827,A0BLNG,"LYXOR FTSE MIB(DR)U.ETF D",ETFs,"ETFs Europa Gesamt"
FR0010150458,A0F6CX,"BNP P.E.CAC 40 ESG  EO C",ETFs,"ETFs Europa Gesamt"
FR0010245514,A0ESMK,"LYXOR ETF JAPAN (TOPIX)",ETFs,"ETFs Asien"
FR0010261198,A0JDGC,"LYXOR ETF MSCI EUROPE",ETFs,"ETFs Europa Gesamt"
FR0010296061,A0JMFG,"LYX.MSCI USA ESG (DR)UE D",ETFs,"ETFs Nordamerika"
FR0010315770,LYX0AG,"LYXOR ETF MSCI WORLD",ETFs,"ETFs Welt"
FR0010342592,A0LC12,"LYX.PEA NASD.100 D.2XLEV.",ETFs,"ETFs Nordamerika"
FR0010361683,LYX0BA,"LYXOR INDIA",ETFs,"ETFs Asien"
FR0010375766,LYX0BQ,"LYX.MSCI IDIA U.E.CDL",ETFs,"ETFs Asien"
FR0010377028,LYX0BT,"LYX.JAP.(TOPIX)(DR) DYN",ETFs,"ETFs Asien"
FR0010405431,LYX0BF,"LYX.MSCI GREECE U.E.D",ETFs,"ETFs Europa Gesamt"
FR0010411884,A0MJQA,LYX.CAC40DLY(-2X)INV.U.E.,ETFs,"ETFs Europa Gesamt"
FR0010424135,A0MNT8,"LYX.EURO ST.50D.(-1X)I. A",ETFs,"ETFs Europa Gesamt"
FR0010424143,A0MNT7,"LYX.EURO ST.50D.(-2X)I. A",ETFs,"ETFs Europa Gesamt"
FR0010429068,LYX0BX,"LYX ETF MSCI EM",ETFs,"ETFs Emerging Markets"
FR0010435297,LYX0CV,"LYXOR MSCI E.M.U.ETF C-DL",ETFs,"ETFs Emerging Markets"
FR0010446146,A0NE3E,"LYX.FTSE MIB D(-1X)I(B) A",ETFs,"ETFs Europa Gesamt"
FR0010446658,A0NEUQ,"LYX.FTSE MIB DA.LE. U.ETF",ETFs,"ETFs Europa Gesamt"
FR0010446666,A0ND7C,"LYX.FTSE MIB D(-2X)I(XB)A",ETFs,"ETFs Europa Gesamt"
FR0010468983,LYX0BZ,"LYX.EURO ST.50D.(2X)L. A",ETFs,"ETFs Europa Gesamt"
FR0010510800,LYX0B6,"LYX ETF EUR CASH",ETFs,"ETFs Europa Bonds"
