ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
US4611471008,907551,"INTEST CORP.       DL-, 01","Aktien International","Aktien International"
US46116X1019,A1XDTL,"INTRA-CELLUL.THE.DL-, 0001","Aktien USA","Aktien USA Select"
US4612021034,886053,"INTUIT INC.        DL-, 01","Aktien USA","Aktien NASDAQ 100 Select"
US4612031017,868973,"INVACARE CORP.","Aktien USA","Aktien USA Select"
US46120E6023,888024,"INTUITIVE SURGIC. DL-, 001","Aktien USA","Aktien NASDAQ 100 Select"
US46121Y2019,A2QA6B,"INTREPID POTASH  DL -, 001","Aktien USA","Aktien USA Select"
US46122W2044,A1H4QV,"INUVO INC. NEW   DL -, 001","Aktien International","Aktien International"
US46131B7047,A3DMJV,"INVESCO MORTGA.CAP.DL-, 01","Aktien USA","Aktien USA Select"
US46134L1052,A117KV,"INVESTAR HLDG CORP.  DL 1","Aktien USA","Aktien USA Select"
US46185L1035,A14NKG,"INVITAE CORP.    DL-, 0001","Aktien USA","Aktien USA Select"
US46186M6057,A3DHEU,"INVIVO THERAPEU.DL-, 00001","Aktien USA","Aktien USA Select"
US46187W1071,A2DK5V,"INVITATION HOMES  DL -, 01","Aktien USA","Aktien USA Select"
US4622221004,A2ACMZ,"IONIS PHARMACEUT.  DL-001","Aktien USA","Aktien USA Select"
US4622601007,A2DT49,"IOVANCE BIOTHERAP.DL-, 001","Aktien USA","Aktien USA Select"
US46266A1097,A118V4,"IRADIMED CORP.   DL-, 0001","Aktien USA","Aktien USA Select"
US46266C1053,A2JSPM,"IQVIA HOLDINGS INC. REGISTERED SHARES DL -, 01","Aktien USA","Aktien USA Select"
US46267X1081,A2JGN8,"IQIYI INC. ADR  DL-, 00001","Aktien International","Aktien International"
US46269C1027,A0YB48,"IRIDIUM COMCTNS DL-, 001","Aktien USA","Aktien USA Select"
US4627261005,A0F5CC,"IROBOT CORP.       DL-, 01","Aktien USA","Aktien NASDAQ 100 Select"
US46284V1017,A14MS9,"IRON MOUNTAIN (NEW)DL-, 01","Aktien USA","Aktien USA Select"
US46333X1081,A0X789,"IRONWOOD PHARMA.A DL-, 001","Aktien USA","Aktien USA Select"
US46489V1044,A0MQNM,"ISORAY INC.       DL-, 001","Aktien International","Aktien International"
US4652701065,A3CUTN,"ITAFOS INC. ON","Aktien International","Aktien International"
US4655621062,A0RGKJ,"ITAU UNIBCO HLDG ADR PFD1","Aktien USA","Aktien USA Select"
US46564T1079,A0DKX6,"ITERIS INC. (NEW)  DL-, 01","Aktien USA","Aktien USA Select"
US4657121079,A3DRQA,"MONDEE HOLDINGS CL.A","Aktien USA","Aktien USA Select"
US46571Y1073,A2JPHL,"I3 VERTICALS  A  DL-, 0001","Aktien USA","Aktien USA Select"
US4657411066,888379,"ITRON INC.","Aktien USA","Aktien USA Select"
US46583P1021,A2PHLF,"IVERIC BIO INC.   DL-, 001","Aktien USA","Aktien USA Select"
US46590V1008,A2DURR,"JBG SMITH PPTYS   DL -, 01","Aktien USA","Aktien USA Select"
US46591M1099,A2PXQ6,"JOYY INC.SP.ADR/20 CL.A","Aktien International","Aktien International"
US46604H1059,A2N4PM,"IZEA WORLDWIDE  DL -, 0001","Aktien USA","Aktien USA Select"
US4661101034,A0Q68W,"JBS S.A.       ADR/2O.N.","Aktien International","Aktien International"
US46620W2017,A2QJAM,"J JILL INC. DL-, 01","Aktien USA","Aktien USA Select"
US46625H1005,850628,"JP MORGAN CH. DL 1","Aktien USA","Aktien Dow Jones"
US46627J3023,A0LF36,"HALYK SAV.BK.GDRS/40 KT15","Aktien Europa","Aktien Europa Select"
US4663131039,886423,"JABIL DL-, 001","Aktien USA","Aktien USA Select"
US4663671091,883746,"JACK IN THE BOX    DL-, 01","Aktien USA","Aktien USA Select"
US46655E1001,A3DJQG,"DAKOTA GOLD CORP. DL-, 001","Aktien International","Aktien International"
US46817M1071,A3CY1L,"JACKSON FNCL CL.A  DL-, 10","Aktien USA","Aktien USA Select"
US46982L1089,A3DTNN,"JACOBS SOLUTIONS INC. DL1","Aktien USA","Aktien USA Select"
US47010C7065,A3D37R,"JAGUAR HEALTH    DL-, 0001","Aktien USA","Aktien USA Select"
US47012E4035,A2P89S,"JAKKS PACIFIC     DL-, 001","Aktien USA","Aktien USA Select"
US47074L1052,A2P9J0,"JAMF HOLDING CORP.DL-, 001","Aktien USA","Aktien USA Select"
US47089W1045,A2PRW6,"JANONE INC.","Aktien USA","Aktien USA Select"
US47109U1043,878925,"JP SM.CAP.FD       DL-, 10","Aktien USA","Aktien USA Select"
US47215P1066,A112ST,"JD.COM SP.ADR A1 DL-00002","Aktien USA","Aktien Dow Jones"
US47233W1099,A2JMVU,"JEFFERIES FINL GRP   DL 1","Aktien USA","Aktien USA Select"
US47580P1030,A2DKYC,"JELD-WEN HLDG INC. DL-, 01","Aktien USA","Aktien USA Select"
US4771431016,541867,"JETBLUE AWYS CORP. DL-, 01","Aktien USA","Aktien USA Select"
US47738D3098,A2QEZH,"JIANPU TECHN. SP.ADR 1/20","Aktien International","Aktien International"
US47759T1007,A0Q87R,"JINKOSOLAR ADR/4 DL-00002","Aktien International","Aktien International"
US4778391049,A0Q6F9,"JOHN BEAN TECHNOLOGIES CORP. REGISTERED SHARES DL","Aktien USA","Aktien USA Select"
US4781601046,853260,"JOHNSON + JOHNSON","Aktien USA","Aktien Dow Jones"
US48020Q1076,908217,"JONES LANG LASALLE INC.","Aktien USA","Aktien USA Select"
US4811161011,A2DKZ0,"JOUNCE THERAP. DL-, 001","Aktien USA","Aktien USA Select"
US48122U2042,A0D8DX,"SISTEMA GDR REGS 1/50","Aktien Europa","Aktien Europa Select"
US48123V1026,A1JQ41,"ZIFF DAVIS INC.    DL-, 01","Aktien USA","Aktien USA Select"
US48138M1053,A2PGZM,"JUMIA TECH. SP.ADR/2 O.N.","Aktien USA","Aktien USA Select"
US48203R1041,923889,"JUNIPER NETWORKS   DL-, 01","Aktien USA","Aktien NASDAQ 100 Select"
US48214T3059,A3CRD9,"JUST EAT TAKEAW. SP.ADR","Aktien Europa","Aktien Europa Select"
US48238T1097,A0YF1W,"KAR AUCTION SERVICES INC.","Aktien USA","Aktien USA Select"
US48241A1051,A0RAQX,"KB FINANCIAL ADR SW 5000","Aktien USA","Aktien USA Select"
US48242W1062,A0LEFS,"KBR INC.         DL -, 001","Aktien USA","Aktien USA Select"
US4824801009,865884,"KLA CORP.        DL -, 001","Aktien USA","Aktien USA Select"
US4824971042,A2QBE8,"KE HOLDINGS SP.ADS/1 CL.A","Aktien International","Aktien International"
US48251K1007,A2DQ76,"KKR REAL EST.FIN.TR. -, 01","Aktien USA","Aktien USA Select"
US48251W1045,A2LQV6,"KKR + CO. INC.       O.N.","Aktien USA","Aktien USA Select"
